0.5695 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
1.0902 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
234.5150 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
236.5712 	EXP 	window1: recordFrameIntervals = False
236.5731 	EXP 	slider: autoLog = True
236.5731 	EXP 	slider: markerPos = None
236.5731 	EXP 	slider: rating = None
236.5731 	EXP 	slider: markerPos = None
236.5731 	EXP 	slider: contrast = 1.0
236.5731 	EXP 	slider: autoLog = True
236.5731 	EXP 	slider: styleTweaks = []
236.5731 	EXP 	slider: styleTweaks = ['w', 'h', 'i', 't', 'e', 'O', 'n', 'B', 'l', 'a', 'c', 'k']
236.5731 	EXP 	slider: style = ('rating', 'whiteOnBlack')
236.5731 	EXP 	slider: styleTweaks = ['w', 'h', 'i', 't', 'e', 'O', 'n', 'B', 'l', 'a', 'c', 'k']
236.5731 	EXP 	slider: markerPos = None
236.6987 	EXP 	window1: recordFrameIntervals = True
236.8829 	EXP 	window1: recordFrameIntervals = False
246.7934 	DATA 	Mouse: Left button down, pos=(949,354)
246.8285 	EXP 	image: image = 'Face Choose/AF1669.jpg'
246.8285 	EXP 	OK_Choice: pos = (0, -250)
246.8285 	EXP 	slider: markerPos = None
246.8285 	EXP 	slider: markerPos = None
246.8285 	EXP 	slider: rating = None
246.8285 	EXP 	image: autoDraw = True
246.8285 	EXP 	slider: autoDraw = True
246.8285 	EXP 	Attractive: autoDraw = True
246.8285 	EXP 	notAttractive: autoDraw = True
246.8285 	EXP 	OK_Choice: autoDraw = True
246.9079 	DATA 	Mouse:  Left button up, pos=(949,354)
279.7576 	DATA 	Mouse: Left button down, pos=(1023,449)
279.7817 	EXP 	slider: markerPos = 6.9174999999999995
279.7984 	EXP 	slider: markerPos = 6.9174999999999995
279.8150 	EXP 	slider: markerPos = 6.9174999999999995
279.8317 	EXP 	slider: markerPos = 6.9174999999999995
279.8482 	EXP 	slider: markerPos = 6.9174999999999995
279.8650 	EXP 	slider: markerPos = 6.9624999999999995
279.8663 	DATA 	Mouse:  Left button up, pos=(1026,443)
279.8817 	EXP 	slider: markerPos = 7.0
279.8817 	EXP 	slider: rating = 7.0
280.5733 	DATA 	Mouse: Left button down, pos=(971,440)
280.5983 	EXP 	slider: markerPos = 5.7475
280.6150 	EXP 	slider: markerPos = 5.7475
280.6317 	EXP 	slider: markerPos = 5.7475
280.6483 	EXP 	slider: markerPos = 5.7475
280.6588 	DATA 	Mouse:  Left button up, pos=(971,440)
280.6651 	EXP 	slider: markerPos = 5.7475
280.6817 	EXP 	slider: markerPos = 6.0
280.6817 	EXP 	slider: rating = 6.0
280.9406 	DATA 	Mouse: Left button down, pos=(1027,433)
280.9649 	EXP 	slider: markerPos = 7.0075
280.9816 	EXP 	slider: markerPos = 7.0075
280.9983 	EXP 	slider: markerPos = 7.0075
281.0150 	EXP 	slider: markerPos = 7.0075
281.0158 	DATA 	Mouse:  Left button up, pos=(1027,432)
281.0318 	EXP 	slider: markerPos = 7.0
281.0318 	EXP 	slider: rating = 7.0
281.3924 	DATA 	Mouse: Left button down, pos=(1018,442)
281.4150 	EXP 	slider: markerPos = 6.7375
281.4317 	EXP 	slider: markerPos = 6.647499999999999
281.4483 	EXP 	slider: markerPos = 6.5125
281.4651 	EXP 	slider: markerPos = 6.3325000000000005
281.4819 	EXP 	slider: markerPos = 6.0625
281.4983 	EXP 	slider: markerPos = 5.9275
281.5151 	EXP 	slider: markerPos = 5.7700000000000005
281.5316 	EXP 	slider: markerPos = 5.4775
281.5482 	EXP 	slider: markerPos = 5.32
281.5652 	EXP 	slider: markerPos = 5.2299999999999995
281.5817 	EXP 	slider: markerPos = 5.1625000000000005
281.5985 	EXP 	slider: markerPos = 5.095
281.6151 	EXP 	slider: markerPos = 5.05
281.6317 	EXP 	slider: markerPos = 5.005
281.6483 	EXP 	slider: markerPos = 4.9375
281.6651 	EXP 	slider: markerPos = 4.8475
281.6816 	EXP 	slider: markerPos = 4.7575
281.6983 	EXP 	slider: markerPos = 4.6
281.7150 	EXP 	slider: markerPos = 4.51
281.7389 	EXP 	slider: markerPos = 4.375
281.7505 	EXP 	slider: markerPos = 4.15
281.7650 	EXP 	slider: markerPos = 4.0375
281.7818 	EXP 	slider: markerPos = 3.9250000000000003
281.7984 	EXP 	slider: markerPos = 3.79
281.8151 	EXP 	slider: markerPos = 3.6550000000000002
281.8317 	EXP 	slider: markerPos = 3.5650000000000004
281.8483 	EXP 	slider: markerPos = 3.5200000000000005
281.8650 	EXP 	slider: markerPos = 3.4524999999999997
281.8816 	EXP 	slider: markerPos = 3.3850000000000002
281.8983 	EXP 	slider: markerPos = 3.3625000000000003
281.9151 	EXP 	slider: markerPos = 3.3625000000000003
281.9318 	EXP 	slider: markerPos = 3.3625000000000003
281.9484 	EXP 	slider: markerPos = 3.3625000000000003
281.9651 	EXP 	slider: markerPos = 3.3625000000000003
281.9815 	EXP 	slider: markerPos = 3.5424999999999995
282.0013 	EXP 	slider: markerPos = 4.3075
282.0149 	EXP 	slider: markerPos = 4.7575
282.0317 	EXP 	slider: markerPos = 5.297499999999999
282.0484 	EXP 	slider: markerPos = 5.9275
282.0651 	EXP 	slider: markerPos = 6.3549999999999995
282.0817 	EXP 	slider: markerPos = 6.715
282.0982 	EXP 	slider: markerPos = 7.075
282.1151 	EXP 	slider: markerPos = 7.3
282.1317 	EXP 	slider: markerPos = 7.5025
282.1482 	EXP 	slider: markerPos = 7.615
282.1650 	EXP 	slider: markerPos = 7.727500000000001
282.1817 	EXP 	slider: markerPos = 7.885
282.1984 	EXP 	slider: markerPos = 7.9525
282.2150 	EXP 	slider: markerPos = 7.9975000000000005
282.2316 	EXP 	slider: markerPos = 8.02
282.2482 	EXP 	slider: markerPos = 8.0425
282.2650 	EXP 	slider: markerPos = 8.1775
282.2817 	EXP 	slider: markerPos = 8.2675
282.2983 	EXP 	slider: markerPos = 8.38
282.3150 	EXP 	slider: markerPos = 8.4475
282.3317 	EXP 	slider: markerPos = 8.4475
282.3484 	EXP 	slider: markerPos = 8.4475
282.3650 	EXP 	slider: markerPos = 8.4475
282.3818 	EXP 	slider: markerPos = 8.4475
282.3982 	EXP 	slider: markerPos = 8.4475
282.4151 	EXP 	slider: markerPos = 8.3125
282.4316 	EXP 	slider: markerPos = 7.9975000000000005
282.4482 	EXP 	slider: markerPos = 7.5925
